Provincia,Descripcion.de.Linea.del.Negocio,Nombre.de.la.Organizacion,Departamento,valor_inicial,valor_final,Activo,F.Registral,cod_pdn,Distrito,timestamp,length
MELGAR,ENGORDE DE VACUNOS,ASOCIACION DE PRODUCTORES AGROPECUARIOS SECTOR COÑEJ - UNO CHAUCA,PUNO,"15,400","20,000",TOROS Y TORETES,11110370,1000,ANTAUTA,,
MELGAR,ENGORDE DE VACUNOS,ASOCIACION DE PRODUCTORES AGROPECUARIOS SECTOR COÑEJ - UNO CHAUCA,PUNO,"9,600","14,000",COBERTIZOS,11110370,1000,ANTAUTA,,
MELGAR,ENGORDE DE VACUNOS,ASOCIACION DE PRODUCTORES AGROPECUARIOS SECTOR COÑEJ - UNO CHAUCA,PUNO,"5,040","7,000",CORRALES,11110370,1000,ANTAUTA,,
MELGAR,ENGORDE DE VACUNOS,ASOCIACION DE PRODUCTORES AGROPECUARIOS SECTOR COÑEJ - UNO CHAUCA,PUNO,"4,500","6,000",AVENAS FORRAJERA,11110370,1000,ANTAUTA,,
MELGAR,ENGORDE DE VACUNOS,ASOCIACION DE PRODUCTORES AGROPECUARIOS SECTOR COÑEJ - UNO CHAUCA,PUNO,"1,440","1,500",CARRETILLAS,11110370,1000,ANTAUTA,,
MELGAR,ENGORDE DE VACUNOS,ASOCIACION DE PRODUCTORES AGROPECUARIOS SECTOR COÑEJ - UNO CHAUCA,PUNO,"12,900","15,000",TERRENOS CON PASTISALES,11110370,1000,ANTAUTA,,
MELGAR,ENGORDE DE VACUNOS,ASOCIACION DE PRODUCTORES AGROPECUARIOS SECTOR COÑEJ - UNO CHAUCA,PUNO,378,400,PALAS,11110370,1000,ANTAUTA,,
MELGAR,ENGORDE DE VACUNOS,ASOCIACION DE PRODUCTORES AGROPECUARIOS SECTOR COÑEJ - UNO CHAUCA,PUNO,120,120,PISTOLAS DOSIFICADORAS,11110370,1000,ANTAUTA,,
MELGAR,ENGORDE DE VACUNOS,ASOCIACION DE PRODUCTORES AGROPECUARIOS SECTOR COÑEJ - UNO CHAUCA,PUNO,0,100,CINTA BOVINOMETRICO,11110370,1000,ANTAUTA,,
MELGAR,ENGORDE DE VACUNOS,ASOCIACION DE PRODUCTORES MULTIPLES VIRGEN DE ROSARIO TRAPICHE -AUTAUTA APM VIRGEN DE ROSARIO TRAPICHE AUTAUTA,PUNO,"20,200","25,000",VACAS EN PRODUCCION,11120659,1001,ANTAUTA,,
MELGAR,ENGORDE DE VACUNOS,ASOCIACION DE PRODUCTORES MULTIPLES VIRGEN DE ROSARIO TRAPICHE -AUTAUTA APM VIRGEN DE ROSARIO TRAPICHE AUTAUTA,PUNO,"16,000","18,000",COBERTIZOS,11120659,1001,ANTAUTA,,
MELGAR,ENGORDE DE VACUNOS,ASOCIACION DE PRODUCTORES MULTIPLES VIRGEN DE ROSARIO TRAPICHE -AUTAUTA APM VIRGEN DE ROSARIO TRAPICHE AUTAUTA,PUNO,"11,900","15,000",TOROS Y TORETES,11120659,1001,ANTAUTA,,
MELGAR,ENGORDE DE VACUNOS,ASOCIACION DE PRODUCTORES MULTIPLES VIRGEN DE ROSARIO TRAPICHE -AUTAUTA APM VIRGEN DE ROSARIO TRAPICHE AUTAUTA,PUNO,"7,200","8,000",PASTOS NATURALES,11120659,1001,ANTAUTA,,
MELGAR,ENGORDE DE VACUNOS,ASOCIACION DE PRODUCTORES MULTIPLES VIRGEN DE ROSARIO TRAPICHE -AUTAUTA APM VIRGEN DE ROSARIO TRAPICHE AUTAUTA,PUNO,"4,400","5,000",CORRALES,11120659,1001,ANTAUTA,,
MELGAR,ENGORDE DE VACUNOS,ASOCIACION DE PRODUCTORES MULTIPLES VIRGEN DE ROSARIO TRAPICHE -AUTAUTA APM VIRGEN DE ROSARIO TRAPICHE AUTAUTA,PUNO,400,"1,500",AVENA/HENO,11120659,1001,ANTAUTA,,
MELGAR,ENGORDE DE VACUNOS,ASOCIACION DE PRODUCTORES MULTIPLES VIRGEN DE ROSARIO TRAPICHE -AUTAUTA APM VIRGEN DE ROSARIO TRAPICHE AUTAUTA,PUNO,"1,200","1,300",CARRETILLAS,11120659,1001,ANTAUTA,,
MELGAR,ENGORDE DE VACUNOS,ASOCIACION DE PRODUCTORES MULTIPLES VIRGEN DE ROSARIO TRAPICHE -AUTAUTA APM VIRGEN DE ROSARIO TRAPICHE AUTAUTA,PUNO,370,450,PALAS,11120659,1001,ANTAUTA,,
MELGAR,ENGORDE DE VACUNOS,ASOCIACION DE PRODUCTORES MULTIPLES VIRGEN DE ROSARIO TRAPICHE -AUTAUTA APM VIRGEN DE ROSARIO TRAPICHE AUTAUTA,PUNO,360,400,PISTOLAS DOSIFICADORAS,11120659,1001,ANTAUTA,,
MELGAR,ENGORDE DE VACUNOS,ASOCIACION DE PRODUCTORES MULTIPLES VIRGEN DE ROSARIO TRAPICHE -AUTAUTA APM VIRGEN DE ROSARIO TRAPICHE AUTAUTA,PUNO,0,120,CINTA BOVINOMETRICA,11120659,1001,ANTAUTA,,
MELGAR,ARTESANIA TEXTIL,ASOCIACION DE MUJERES SUMAC ILLARI DEL SECTOR ALTURA (AMSISA),PUNO,36,40,RUECAS,11103118,1003,ANTAUTA,,
MELGAR,ARTESANIA TEXTIL,ASOCIACION DE MUJERES SUMAC ILLARI DEL SECTOR ALTURA (AMSISA),PUNO,27,56,AGUJAS DE TEJER,11103118,1003,ANTAUTA,,
MELGAR,ARTESANIA TEXTIL,ASOCIACION DE MUJERES SUMAC ILLARI DEL SECTOR ALTURA (AMSISA),PUNO,42,68,CINTA METRICA,11103118,1003,ANTAUTA,,
MELGAR,ARTESANIA TEXTIL,ASOCIACION DE MUJERES SUMAC ILLARI DEL SECTOR ALTURA (AMSISA),PUNO,36,45,TIJEREAS,11103118,1003,ANTAUTA,,
